,name,city,state_code,state_name,city_longitude,city_latitude
520,Twisted Pine Brewing Company,Boulder,CO,Colorado,-105.270545,40.0149856
521,Flying Dog Brewery,Frederick,MD,Maryland,-77.4127562,39.415779
522,Uncommon Brewers,Santa Cruz,CA,California,-121.9905908,37.050096
523,Aspen Brewing Company,Aspen,CO,Colorado,-106.8235606,39.1911128
524,Triangle Brewing Company,Durham,NC,North Carolina,-78.9018053,35.996653
525,Bomb Beer Company,New York,NY,New York,-74.0060152,40.7127281
526,Churchkey Can Company,Seattle,WA,Washington,-122.330062,47.6038321
527,Intuition Ale Works,Jacksonville,FL,Florida,-81.655651,30.3321838
528,Asheville Brewing Company,Asheville,NC,North Carolina,-82.5540161,35.6009498
529,Northwoods Brewpub,Eau Claire,WI,Wisconsin,-91.4984941,44.811349
530,Buckbean Brewing Company,Reno,NV,Nevada,-119.8126581,39.5261206
531,Dolores River Brewery,Dolores,CO,Colorado,-108.4596087,37.7524811
532,Flat Rock Brewing Company,Smithton,PA,Pennsylvania,-79.7411535,40.1539613
533,Abita Brewing Company,Abita Springs,LA,Louisiana,-90.0375755,30.4785257
534,Mammoth Brewing Company,Mammoth Lakes,CA,California,-118.9668509,37.6432525
535,Harvest Moon Brewing Company,Belt,MT,Montana,-110.927528,47.387633
536,Grand Canyon Brewing Company,Williams,AZ,Arizona,-112.1869481,35.2503394
537,Lewis and Clark Brewing Company,Helena,MT,Montana,-112.036277,46.5927425
538,Dundee Brewing Company,Rochester,NY,New York,-77.615214,43.157285
539,Twin Lakes Brewing Company,Greenville,DE,Delaware,-75.60597661661248,39.77815075
540,Mother Earth Brewing Company,Kinston,NC,North Carolina,-77.5816353,35.2626635
541,Arcadia Brewing Company,Battle Creek,MI,Michigan,-85.1824269,42.3192548
542,Angry Minnow Brewing Company,Hayward,WI,Wisconsin,-91.4848728,46.0129676
543,Great Northern Brewing Company,Whitefish,MT,Montana,-114.33828531635987,48.450293
544,Pyramid Breweries,Seattle,WA,Washington,-122.330062,47.6038321
545,Lancaster Brewing Company,Lancaster,PA,Pennsylvania,-76.3056686,40.03813
546,Upstate Brewing Company,Elmira,NY,New York,-76.8077338,42.0897965
547,Moat Mountain Smoke House & Brew...,North Conway,NH,New Hampshire,-71.1282572,44.0537103
548,Prescott Brewing Company,Prescott,AZ,Arizona,-112.468812,34.539984
549,Mogollon Brewing Company,Flagstaff,AZ,Arizona,-111.6165953319917,35.1816047
550,Wind River Brewing Company,Pinedale,WY,Wyoming,-109.8609808,42.8671325
551,Silverton Brewery,Silverton,CO,Colorado,-107.6643647,37.8115318
552,Mickey Finn's Brewery,Libertyville,IL,Illinois,-87.9531303,42.2830786
553,Covington Brewhouse,Covington,LA,Louisiana,-90.1010474,30.4753525
554,Dave's Brewfarm,Wilson,WI,Wisconsin,-92.1735179,44.9535753
555,Ukiah Brewing Company,Ukiah,CA,California,-123.2077861,39.1501662
556,Butternuts Beer and Ale,Garrattsville,NY,New York,-75.1718306,42.6472968
557,Sleeping Lady Brewing Company,Anchorage,AK,Alaska,-149.894852,61.2163129
